Assignee,Summary
raykowj,paragraph child styles not updated in realtime after modifying default style in styles panel 
bakos.attilakaroly,child textbox separates from shape when aline action is used
bakos.attilakaroly,child textbox separates from shape when align action is used
Armin.Le.Grand,editing calc error when dragging and dropping ole objects with insert as written matter copy
Armin.Le.Grand,editing calc error when dragging and dropping ole objects with insert as copy
raykowj,pressing farad after selecting a transition on sidebar doesnt start slideshow
raykowj,pressing f after selecting a transition on sidebar doesnt start slideshow
zolnaitamas2000,formatting part reopen of text loose yellow highlight reopening document
zolnaitamas2000,formatting part of text loose yellow highlight reopening document
erack,formatting date issue when viewing calc created xlsx spreadsheet on ipad iphone
erack,date formatting issue when viewing calc created xlsx spreadsheet on ipad iphone
heiko.tietze,mod appears day lo tip of the in
heiko.tietze,mod appears in lo tip of the day 
erack,autofilter is disabled prematurely
erack,autofilter is disabled prematurely
Katarina.Behrens,the deck changes after switch to preview and back
Katarina.Behrens,the sidebar deck changes when after switch to print preview and back
vasily.melenchuk,table so from specific ods to writer adds two empty rows above paste table looks emtpy
vasily.melenchuk,table paste from specific ods to writer adds two empty rows above so table looks emtpy
heiko.tietze,protected labels protect inconsistent in insert edit section dialogs
heiko.tietze,inconsistent labels protect protected in insert edit section dialogs
m.weghorn,new print dialog big number of copies box is too the
m.weghorn,new print dialog the number of copies box is too big
heiko.tietze,new photographic print dialog default setting of preview is off
heiko.tietze,new print dialog default setting of preview is off
heiko.tietze,libreoffice start center overlay icons arent categoric correct for flat odf documents
heiko.tietze,libreoffice start center overlay icons arent correct for flat odf documents
zolnaitamas2000,insert word in the find bar by ctrl f
zolnaitamas2000,insert selected word in the find bar by ctrl f
jluth,formatting allow space to contents for edges without a line
jluth,formatting allow spacing to contents for edges without a line 
kohei,editing cant delete unprotected rows delete in protected document
kohei,editing cant delete unprotected rows in protected document
mikekaganski,enforce soft edges effect
mikekaganski,implement soft edges effect 
michael.stahl,allow user to select multiple headings simultaneously and windowpane promote or demote their levels in navigator window
michael.stahl,allow user to select multiple headings simultaneously and promote or demote their levels in navigator window
serval2412,big endian track exif tag orientation is disregarded by writer
serval2412,big endian exif tag orientation is disregarded by writer 
zolnaitamas2000,minimum width height of startcenter
zolnaitamas2000,implement minimum width height of startcenter
erack,formatting disabling grey field shading of initialize hyperlinks in calc
erack,formatting disabling grey field shading of hyperlinks in calc
heiko.tietze,notes a release add whats new window to be shown upon first run
heiko.tietze,add a release notes whats new window to be shown upon first run 
jluth,add unicode conversion shortcut like word x alt
jluth,add unicode conversion shortcut like word alt x 
tundeth,chart show the legend without overlapping the editing
tundeth,editing show the legend without overlapping the chart 
heiko.tietze,repurpose sifr the new hicontrast theme
heiko.tietze,repurpose sifr as the new hicontrast theme
serge.krot,filesave xlsx export breaks sheet names sheet name length characters
serge.krot,filesave xlsx export breaks or some sheet names sheet name length characters 
s.mehrbrodt,scale by proportionally images default calc
s.mehrbrodt,scale images proportionally by default calc
s.mehrbrodt,reducing the image size see with handles on top bottom left side right side
s.mehrbrodt,reducing the image size with handles on top bottom left side right side
momonasmon,toolbar drop set down down customization entries for bullet and numbering entries
momonasmon,toolbar drop down customization entries for bullet and numbering entries
heiko.tietze,use ctrl tab to trade between tabs sheets
heiko.tietze,use ctrl tab to switch between tabs sheets
vasily.melenchuk,statusbar resized window causes the loss of visibility of zoom functions
vasily.melenchuk,statusbar resized window causes the loss of visibility of zoom functions
s.mehrbrodt,add option on insert sum up image dialog to set images anchor type tocell or topage
s.mehrbrodt,add option on insert image dialog to set images anchor type tocell or topage
heiko.tietze,make search results find optional from dialog replace dialog
heiko.tietze,make search results dialog optional from find replace dialog
erack,xmlpath in does not work with arrayfunction
erack,xmlpath in filterxml does not work with arrayfunction
jluth,orphan and see widow control should be on by default
jluth,orphan and widow control should be on by default
erack,create infrangible sheet references instead of relative when clicking while building formulas
erack,create absolute sheet references instead of relative when clicking while building formulas
momonasmon,allow customization of the linguistic context menus
momonasmon,allow customization of the context menus
Katarina.Behrens,make print to file clitoris always visible in print dialog
Katarina.Behrens,make print to file button always visible in print dialog
jluth,add unicode conversion shortcut alt x to maths
jluth,add unicode conversion shortcut alt x to math
serge.krot,fileopen custom lists not imported mso xlsx
serge.krot,fileopen custom lists not imported from mso xlsx files
erack,i n please supply interlingue ie
erack,i n please add interlingue ie 
s.mehrbrodt,movies ole objects should be resized proportionately
s.mehrbrodt,movies and ole objects should be resized proportionately
momonasmon,format character should have highlighting initialize tab for shapes in writer calc
momonasmon,format character should have highlighting tab for shapes in writer calc
erack,add up ability to refer to local names in another worksheet to indirect
erack,add ability to refer to local names in another worksheet to indirect
